Date,Open,High,Low,Close*,Adj Close**,Volume
1-Jul-01,1.69,1.8,1.27,1.34,1.19,"2,163,775,600"
1-Jun-01,1.44,1.79,1.38,1.66,1.47,"1,909,566,400"
1-May-01,1.82,1.91,1.38,1.42,1.26,"1,867,108,600"
1-Apr-01,1.58,1.94,1.34,1.82,1.61,"2,789,747,800"
1-Mar-01,1.27,1.7,1.23,1.58,1.4,"2,699,765,600"
1-Feb-01,1.48,1.57,1.29,1.3,1.16,"1,755,941,600"
1-Jan-01,1.06,1.61,1.03,1.54,1.37,"3,427,365,200"
1-Dec-00,1.21,1.25,0.97,1.06,0.94,"2,214,742,600"
1-Nov-00,1.39,1.64,1.15,1.18,1.04,"2,122,093,400"
1-Oct-00,1.91,1.91,1.25,1.4,1.24,"5,476,447,200"
1-Sep-00,4.38,4.58,1.81,1.84,1.63,"3,629,232,600"
1-Aug-00,3.59,4.39,3.16,4.35,3.86,"1,409,021,600"
1-Jul-00,3.72,4.33,3.35,3.63,3.22,"1,436,692,600"
21-Jun-00,2/1ÿStock Split,,,,,
1-Jun-00,2.92,4.12,2.87,3.74,3.32,"2,026,301,200"
1-May-00,4.46,4.51,2.92,3,2.66,"2,451,937,600"
1-Apr-00,4.84,4.98,3.75,4.43,3.93,"2,165,601,200"
1-Mar-00,4.23,5.37,4.07,4.85,4.3,"2,174,589,200"
1-Feb-00,3.71,4.28,3.46,4.09,3.63,"1,829,945,600"
1-Jan-00,3.75,4.34,3.09,3.71,3.28,"3,138,794,400"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,,,,,,
